"X1","X2","X3","status","formatted_address","index","lat","long","accuracy"
NA,NA,NA,"OK","Heshan, Laibin, Guangxi, China",1949,23.806535,108.886082,"political"
NA,NA,NA,"OK","Jiangzhou, Chongzuo, Guangxi, China",1950,22.405325,107.353437,"political"
NA,NA,NA,"OK","Fusui, Chongzuo, Guangxi, China",1951,22.635012,107.904186,"political"
NA,NA,NA,"OK","Ningming, Chongzuo, Guangxi, China",1952,22.140192,107.076456,"political"
NA,NA,NA,"OK","Longzhou, Chongzuo, Guangxi, China",1953,22.342771,106.854376,"political"
NA,NA,NA,"OK","Daxin, Chongzuo, Guangxi, China",1954,22.829287,107.200654,"political"
NA,NA,NA,"OK","Tiandeng, Chongzuo, Guangxi, China",1955,23.081394,107.143432,"political"
NA,NA,NA,"OK","Pingxiang, Chongzuo, Guangxi, China",1956,22.094484,106.766293,"political"
NA,NA,NA,"OK","Xiuying, Haikou, Hainan, China",1957,20.007968,110.293561,"political"
NA,NA,NA,"OK","Longhua, Haikou, Hainan, China",1958,20.031006,110.328492,"political"
NA,NA,NA,"OK","Qiongshan, Haikou, Hainan, China",1959,20.003169,110.353972,"political"
NA,NA,NA,"OK","Meilan, Haikou, Hainan, China",1960,20.029083,110.366357,"political"
NA,NA,NA,"ZERO_RESULTS",NA,1961,NA,NA,NA
NA,NA,NA,"OK","Haitang, Sanya, Hainan, China",1962,18.400092,109.752583,"political"
NA,NA,NA,"OK","Jiyang, Sanya, China",1963,18.281406,109.578336,"political"
NA,NA,NA,"OK","Tianya, Sanya, Hainan, China",1964,18.298167,109.452379,"political"
NA,NA,NA,"OK","Yazhou, Sanya, Hainan, China",1965,18.352192,109.174306,"political"
NA,NA,NA,"ZERO_RESULTS",NA,1966,NA,NA,NA
NA,NA,NA,"ZERO_RESULTS",NA,1967,NA,NA,NA
NA,NA,NA,"OK","Zhongsha Islands",1968,16.054159,114.482322,"establishment"
NA,NA,NA,"OK","Danzhou, Hainan, China",1969,19.521134,109.580811,"locality"
